EVENT_ID,EVENT_LAT,EVENT_LON,EVENT_TIME,wrfout_path,time_start,time_end,lat_min,lat_max,lon_min,lon_max,simulation_time_start,n_timesteps,SKELET,WALL_TIME
DN101223_01,-31.77224,128.77586,2010-12-23T13:35:54,/mnt/L2_plus/events_trello/DN101223_01/WRF/wrfout_d04_2010-12-22_12:00:00,2010-12-22_12:00:00,2010-12-23_14:00:00,-33.225887298583984,-30.77144432067871,127.03384399414062,129.96270751953125,2010-12-22_12:00:00,79,,
DN101223_01,-31.77224,128.77586,2010-12-23T13:35:54,/mnt/L2_plus/events_trello/DN101223_01/WRF/wrfout_d04_2010-12-22_18:00:00,2010-12-22_18:00:00,2010-12-23_14:00:00,-33.225887298583984,-30.77144432067871,127.03384399414062,129.96270751953125,2010-12-22_18:00:00,61,,
DN101223_01,-31.77224,128.77586,2010-12-23T13:35:54,/mnt/L2_plus/events_trello/DN101223_01/WRF/wrfout_d04_2010-12-23_00:00:00,2010-12-23_00:00:00,2010-12-23_14:00:00,-33.225887298583984,-30.77144432067871,127.03384399414062,129.96270751953125,2010-12-23_00:00:00,43,,
DN101223_01,-31.77224,128.77586,2010-12-23T13:35:54,/mnt/L2_plus/events_trello/DN101223_01/WRF/wrfout_d04_2010-12-23_06:00:00,2010-12-23_06:00:00,2010-12-23_14:00:00,-33.225887298583984,-30.77144432067871,127.03384399414062,129.96270751953125,2010-12-23_06:00:00,25,,
DN101223_01,-31.77224,128.77586,2010-12-23T13:35:54,/mnt/L2_plus/events_trello/DN101223_01/WRF/wrfout_d04_2010-12-23_12:00:00,2010-12-23_12:00:00,2010-12-23_14:00:00,-33.225887298583984,-30.77144432067871,127.03384399414062,129.96270751953125,2010-12-23_12:00:00,7,,
DN130505_01,-30.12050,127.99997,2013-05-05T12:26:50,/mnt/L2_plus/events_trello/DN130505_01/WRF/wrfout_d04_2013-05-04_18:00:00,2013-05-04_18:00:00,2013-05-05_13:00:00,-31.564777374267578,-29.019548416137695,126.30020141601562,129.28549194335938,2013-05-04_18:00:00,39,,
DN130505_01,-30.12050,127.99997,2013-05-05T12:26:50,/mnt/L2_plus/events_trello/DN130505_01/WRF/wrfout_d04_2013-05-05_00:00:00,2013-05-05_00:00:00,2013-05-05_13:00:00,-31.564777374267578,-29.019548416137695,126.30020141601562,129.28549194335938,2013-05-05_00:00:00,27,,
DN130505_01,-30.12050,127.99997,2013-05-05T12:26:50,/mnt/L2_plus/events_trello/DN130505_01/WRF/wrfout_d04_2013-05-05_06:00:00,2013-05-05_06:00:00,2013-05-05_13:00:00,-31.564777374267578,-29.019548416137695,126.30020141601562,129.28549194335938,2013-05-05_06:00:00,15,,
DN130505_01,-30.12050,127.99997,2013-05-05T12:26:50,/mnt/L2_plus/events_trello/DN130505_01/WRF/wrfout_d04_2013-05-05_12:00:00,2013-05-05_12:00:00,2013-05-05_13:00:00,-31.564777374267578,-29.019548416137695,126.30020141601562,129.28549194335938,2013-05-05_12:00:00,3,,
DN140921_01,-31.112900255233725,135.65643291708355,2014-09-21T13:11:42,/mnt/L2_plus/events_trello/DN140921_01/WRF/wrfout_d04_2014-09-21_00:00:00,2014-09-21_00:00:00,2014-09-22_00:00:00,-32.554019927978516,-30.106121063232422,133.93435668945312,136.8341064453125,2014-09-21_00:00:00,49,,
DN141125_01,-31.010576023115004,134.54164594692654,2014-11-25T15:21:15,/mnt/L2_plus/events_trello/DN141125_01/WRF/wrfout_d04_2014-11-25_00:00:00,2014-11-25_00:00:00,2014-11-25_16:00:00,-32.460025787353516,-30.013080596923828,132.81939697265625,135.71511840820312,2014-11-25_00:00:00,97,,
DN141125_01,-31.010576023115004,134.54164594692654,2014-11-25T15:21:15,/mnt/L2_plus/events_trello/DN141125_01/WRF/wrfout_d04_2014-11-25_06:00:00,2014-11-25_06:00:00,2014-11-25_16:00:00,-32.460025787353516,-30.013080596923828,132.81939697265625,135.71511840820312,2014-11-25_06:00:00,61,,
DN141125_01,-31.010576023115004,134.54164594692654,2014-11-25T15:21:15,/mnt/L2_plus/events_trello/DN141125_01/WRF/wrfout_d04_2014-11-25_12:00:00,2014-11-25_12:00:00,2014-11-25_16:00:00,-32.460025787353516,-30.013080596923828,132.81939697265625,135.71511840820312,2014-11-25_12:00:00,25,,
